stage_index,stage,machine_id,theoretical_capacity_per_day,effective_capacity_per_day,actual_units_per_day,capacity_utilisation_pct,downtime_pct,oee,breakdowns_per_shift
1,Raw Material Preparation,RMP-01,26182.0,22794.0,22862.0,87.32,8.67,0.8706,0.21
1,Raw Material Preparation,RMP-02,26182.0,22977.0,23046.0,88.02,7.96,0.8776,0.19
2,Mixing,MIX-01,22154.0,18191.0,18412.0,83.11,11.34,0.8211,0.3
2,Mixing,MIX-02,22154.0,18235.0,18458.0,83.32,11.19,0.8231,0.32
3,Processing,PRC-01,24000.0,20866.0,21036.0,87.65,7.87,0.8694,0.23
3,Processing,PRC-02,24000.0,20088.0,20249.0,84.37,10.78,0.837,0.31
4,Filling,FIL-01,14400.0,10328.0,10596.0,73.58,17.87,0.7172,0.55
4,Filling,FIL-02,14400.0,10277.0,10534.0,73.15,18.47,0.7137,0.48
4,Filling,FIL-03,14400.0,10734.0,11005.0,76.42,14.86,0.7454,0.45
5,Packaging,PKG-01,16941.0,11942.0,12125.0,71.57,23.07,0.7049,0.64
5,Packaging,PKG-02,16941.0,11989.0,12173.0,71.85,22.73,0.7077,0.6
5,Packaging,PKG-03,16941.0,11135.0,11310.0,66.76,28.0,0.6573,0.72
6,Quality Inspection,QCI-01,25043.0,21320.0,21342.0,85.22,7.28,0.8513,0.14
6,Quality Inspection,QCI-02,25043.0,21242.0,21264.0,84.91,7.52,0.8482,0.13
7,Dispatch,DSP-01,28800.0,25341.0,25366.0,88.08,6.03,0.8799,0.1
7,Dispatch,DSP-02,28800.0,25514.0,25541.0,88.68,5.56,0.8859,0.11
