year_month,stage_index,stage,machines,operators_per_shift,ideal_cycle_time_sec,actual_cycle_time_sec,available_hours_per_day,operating_hours_per_day,theoretical_capacity_per_day,effective_capacity_per_day,actual_units_per_day,actual_good_units_per_day,capacity_utilisation_pct,downtime_pct,defect_pct,availability,performance,quality,oee
2024-04,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.4,52364.0,45782.0,45922.0,45783.0,87.7,8.12,0.3,0.9188,0.9545,0.997,0.8743
2024-04,2,Mixing,2,2,2.6,2.79,32.0,28.52,44308.0,36332.0,36796.0,36331.0,83.05,10.87,1.26,0.8913,0.9317,0.9874,0.82
2024-04,3,Processing,2,2,2.4,2.54,32.0,29.09,48000.0,40934.0,41253.0,40936.0,85.94,9.09,0.77,0.9091,0.9453,0.9923,0.8528
2024-04,4,Filling,3,3,4.0,4.48,48.0,40.1,43200.0,31389.0,32241.0,31390.0,74.63,16.45,2.64,0.8355,0.8933,0.9736,0.7266
2024-04,5,Packaging,3,4,3.4,3.67,48.0,36.6,50824.0,35363.0,35908.0,35364.0,70.65,23.76,1.51,0.7624,0.9267,0.9849,0.6958
2024-04,6,Quality Inspection,2,3,2.3,2.49,32.0,29.63,50087.0,42864.0,42907.0,42862.0,85.67,7.42,0.11,0.9258,0.9253,0.9989,0.8558
2024-04,7,Dispatch,2,3,2.0,2.13,32.0,30.44,57600.0,51350.0,51400.0,51349.0,89.24,4.88,0.1,0.9512,0.9381,0.999,0.8915
2024-05,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.69,52364.0,46405.0,46551.0,46407.0,88.9,7.22,0.31,0.9278,0.9581,0.9969,0.8862
2024-05,2,Mixing,2,2,2.6,2.77,32.0,28.6,44308.0,36704.0,37154.0,36704.0,83.85,10.61,1.21,0.8939,0.9381,0.9879,0.8284
2024-05,3,Processing,2,2,2.4,2.51,32.0,29.03,48000.0,41242.0,41584.0,41241.0,86.63,9.28,0.82,0.9072,0.955,0.9918,0.8592
2024-05,4,Filling,3,3,4.0,4.46,48.0,39.96,43200.0,31432.0,32234.0,31433.0,74.62,16.76,2.48,0.8324,0.8964,0.9752,0.7276
2024-05,5,Packaging,3,4,3.4,3.65,48.0,36.62,50824.0,35536.0,36077.0,35536.0,70.98,23.71,1.5,0.7629,0.9304,0.985,0.6992
2024-05,6,Quality Inspection,2,3,2.3,2.52,32.0,29.82,50087.0,42614.0,42657.0,42612.0,85.17,6.83,0.1,0.9317,0.9141,0.999,0.8508
2024-05,7,Dispatch,2,3,2.0,2.12,32.0,30.19,57600.0,51149.0,51200.0,51150.0,88.89,5.66,0.1,0.9434,0.9422,0.999,0.888
2024-06,1,Raw Material Preparation,2,2,2.2,2.31,32.0,29.47,52364.0,45844.0,45981.0,45842.0,87.81,7.91,0.3,0.9209,0.9535,0.997,0.8755
