year_month,bottleneck_stage,line_capacity_per_day,bottleneck_oee,bottleneck_downtime_pct
2024-04,Filling,31389.0,0.7266,16.45
2024-05,Filling,31432.0,0.7276,16.76
2024-06,Filling,31722.0,0.7343,15.93
2024-07,Filling,31368.0,0.7261,17.05
2024-08,Filling,30832.0,0.7137,18.47
2024-09,Filling,31506.0,0.7293,16.41
2024-10,Filling,31389.0,0.7266,17.16
2024-11,Filling,31735.0,0.7346,16.47
2024-12,Filling,31761.0,0.7352,16.24
2025-01,Filling,31121.0,0.7204,17.7
2025-02,Filling,30802.0,0.713,18.17
2025-03,Filling,31009.0,0.7178,17.98
