margin_multiplier,margin_per_unit,scenario,net_annual_benefit,payback_years
0.5,2.25,B,1725329.0,2.61
0.5,2.25,C,562861.0,0.0
0.5,2.25,D,469142.0,1.39
0.5,2.25,E,-51619.0,
0.5,2.25,F,1798423.0,2.86
0.75,3.38,B,3037994.0,1.48
0.75,3.38,C,1244292.0,0.0
0.75,3.38,D,778712.0,0.83
0.75,3.38,E,222572.0,0.0
0.75,3.38,F,3922634.0,1.31
1.0,4.5,B,4350658.0,1.03
1.0,4.5,C,1925722.0,0.0
1.0,4.5,D,1088283.0,0.6
1.0,4.5,E,496762.0,0.0
1.0,4.5,F,6046846.0,0.85
1.25,5.62,B,5663323.0,0.79
1.25,5.62,C,2607152.0,0.0
1.25,5.62,D,1397854.0,0.46
1.25,5.62,E,770953.0,0.0
1.25,5.62,F,8171058.0,0.63
1.5,6.75,B,6975988.0,0.65
1.5,6.75,C,3288583.0,0.0
1.5,6.75,D,1707424.0,0.38
1.5,6.75,E,1045144.0,0.0
1.5,6.75,F,10295269.0,0.5
