year_month,Equipment Breakdown,Material Shortage,Changeover / Setup,Quality Issue,Operator Unavailability,Minor Stoppages,Total
2024-04,16.11,7.97,14.76,5.37,6.22,9.98,60.41
2024-05,16.89,7.67,14.23,5.48,6.29,9.61,60.17
2024-06,17.39,7.64,14.34,5.59,6.36,9.91,61.23
2024-07,15.79,7.95,14.41,5.53,6.45,10.18,60.31
2024-08,17.51,8.06,14.9,5.88,6.35,10.22,62.92
2024-09,16.19,8.22,13.9,5.62,7.08,10.38,61.39
2024-10,17.6,7.93,14.7,5.52,6.74,10.2,62.69
2024-11,17.58,8.57,15.68,6.02,6.96,10.57,65.38
2024-12,17.05,8.06,14.72,5.62,6.74,10.49,62.68
2025-01,17.2,8.18,14.93,5.88,7.11,10.29,63.59
2025-02,18.17,8.82,15.68,6.18,7.32,10.95,67.12
2025-03,17.51,8.37,15.84,5.84,7.21,10.87,65.64
