stage_index,stage,machine_id,planned_time_min,operating_time_min,units_produced,good_units,defective_units,rework_units,availability,performance,quality,oee,downtime_loss_min,speed_loss_min,quality_loss_min,productive_time_min,dominant_loss,oee_rank_worst_first
5,Packaging,PKG-03,300480.0,216335.4,3540085,3485378,54707,38148,0.72,0.9273,0.9845,0.6573,84144.6,15730.5,3100.1,197504.8,Availability,1
5,Packaging,PKG-01,300480.0,231159.5,3795060,3737964,57096,39881,0.7693,0.9303,0.985,0.7049,69320.5,16106.1,3235.4,211818.0,Availability,2
5,Packaging,PKG-02,300480.0,232185.5,3810074,3752841,57233,40164,0.7727,0.9299,0.985,0.7077,68294.5,16281.3,3243.2,212661.0,Availability,3
4,Filling,FIL-02,300480.0,244966.3,3297194,3216844,80350,44120,0.8153,0.8973,0.9756,0.7137,55513.7,25153.4,5356.7,214456.3,Availability,4
4,Filling,FIL-01,300480.0,246770.3,3316518,3232626,83892,46132,0.8213,0.896,0.9747,0.7172,53709.7,25669.1,5592.8,215508.4,Availability,5
4,Filling,FIL-03,300480.0,255825.5,3444502,3359558,84944,46762,0.8514,0.8976,0.9753,0.7454,44654.5,26192.0,5662.9,223970.5,Availability,6
2,Mixing,MIX-01,300480.0,266400.5,5762958,5693756,69202,41486,0.8866,0.9374,0.988,0.8211,34079.5,16672.3,2998.8,246729.4,Availability,7
2,Mixing,MIX-02,300480.0,266849.0,5777380,5707619,69761,41768,0.8881,0.9382,0.9879,0.8231,33631.0,16495.8,3023.0,247330.2,Availability,8
3,Processing,PRC-02,300480.0,268073.4,6337934,6287705,50229,25116,0.8922,0.9457,0.9921,0.837,32406.6,14556.1,2009.2,251508.2,Availability,9
6,Quality Inspection,QCI-02,300480.0,277877.7,6655731,6649006,6725,2026,0.9248,0.9182,0.999,0.8482,22602.3,22741.3,257.8,254878.6,Performance,10
6,Quality Inspection,QCI-01,300480.0,278619.6,6680093,6673299,6794,2042,0.9272,0.9191,0.999,0.8513,21860.4,22549.4,260.4,255809.8,Performance,11
3,Processing,PRC-01,300480.0,276834.5,6584301,6530873,53428,26895,0.9213,0.9514,0.9919,0.8694,23645.5,13462.5,2137.1,261234.9,Availability,12
1,Raw Material Preparation,RMP-01,300480.0,274415.3,7155952,7134304,21648,10725,0.9133,0.9562,0.997,0.8706,26064.7,12030.4,793.8,261591.1,Availability,13
1,Raw Material Preparation,RMP-02,300480.0,276563.5,7213464,7192101,21363,10619,0.9204,0.9564,0.997,0.8776,23916.5,12069.8,783.3,263710.4,Availability,14
7,Dispatch,DSP-01,300480.0,282372.7,7939616,7931739,7877,1545,0.9397,0.9373,0.999,0.8799,18107.3,17718.8,262.6,264391.3,Availability,15
7,Dispatch,DSP-02,300480.0,283782.8,7994226,7986154,8072,1553,0.9444,0.939,0.999,0.8859,16697.2,17308.5,269.1,266205.1,Performance,16
