month,planned_time_min,operating_time_min,units_produced,good_units,defective_units,rework_units,availability,performance,quality,oee,downtime_loss_min,speed_loss_min,quality_loss_min,productive_time_min,dominant_loss
2024-04,399360.0,349096.9,7447088,7384393,62695,35799,0.8741,0.9288,0.9916,0.8051,50263.1,24858.9,3350.9,320887.0,Availability
2024-05,414720.0,362727.6,7761328,7697277,64051,36543,0.8746,0.9316,0.9917,0.8081,51992.4,24812.7,3398.7,334516.3,Availability
2024-06,384000.0,335015.3,7163009,7104399,58610,33424,0.8724,0.9308,0.9918,0.8054,48984.7,23188.4,3120.9,308706.0,Availability
2024-07,414720.0,362601.6,7762766,7699557,63209,36153,0.8743,0.9323,0.9919,0.8085,52118.4,24545.2,3345.0,334711.4,Availability
2024-08,414720.0,360343.3,7682591,7619960,62631,35755,0.8689,0.9279,0.9918,0.7997,54376.7,25973.5,3313.7,331056.1,Availability
2024-09,384000.0,334887.9,7151163,7093086,58077,33228,0.8721,0.9308,0.9919,0.8052,49112.1,23169.1,3092.7,308626.1,Availability
2024-10,414720.0,360554.7,7698761,7634278,64483,36776,0.8694,0.9302,0.9916,0.8019,54165.3,25178.9,3429.0,331946.8,Availability
2024-11,399360.0,344960.1,7384610,7324738,59872,34264,0.8638,0.9324,0.9919,0.7989,54399.9,23303.7,3176.0,318480.4,Availability
2024-12,399360.0,347208.6,7427788,7367052,60736,34746,0.8694,0.9319,0.9918,0.8036,52151.4,23639.3,3245.6,320323.8,Availability
2025-01,414720.0,359785.1,7686031,7623202,62829,35833,0.8675,0.9301,0.9918,0.8003,54934.9,25141.6,3350.0,331293.4,Availability
2025-02,368640.0,317096.9,6759688,6704245,55443,31814,0.8602,0.9269,0.9918,0.7907,51543.1,23189.6,2947.0,290960.3,Availability
2025-03,399360.0,344753.6,7380265,7319580,60685,34647,0.8633,0.9311,0.9918,0.7972,54606.4,23736.8,3216.5,317800.3,Availability
