production_date,day_number,good_units,centre_line,upper_control_limit,lower_control_limit,in_baseline,beyond_limits,run_of_eight,out_of_control
2024-04-01,1,34145,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-02,2,29899,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-03,3,33727,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-04,4,32822,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-05,5,33946,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-06,6,28388,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-08,7,32125,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-09,8,31914,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-10,9,31556,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-11,10,32114,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-12,11,29637,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-13,12,32839,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-15,13,32681,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-16,14,31444,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-17,15,28231,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-18,16,30358,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-19,17,31485,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-20,18,30837,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-22,19,31253,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-23,20,32790,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-24,21,29090,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-25,22,31960,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-26,23,31696,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-27,24,28815,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-29,25,31800,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-04-30,26,30593,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-01,27,31786,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-02,28,29476,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-03,29,33118,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-04,30,28678,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-06,31,32592,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
2024-05-07,32,30903,31475.077777777777,36569.56737854278,26380.588177012774,True,False,False,False
