downtime_reduction_pct,line_capacity_per_day,gain_pct,bottleneck_stage,still_the_bottleneck
0.0,31339.0,0.0,Filling,True
5.0,31661.0,1.03,Filling,True
10.0,31984.0,2.06,Filling,True
15.0,32306.0,3.09,Filling,True
20.0,32629.0,4.12,Filling,True
25.0,32951.0,5.15,Filling,True
30.0,33274.0,6.18,Filling,True
35.0,33596.0,7.2,Filling,True
40.0,33919.0,8.23,Filling,True
45.0,34242.0,9.26,Filling,True
50.0,34564.0,10.29,Filling,True
55.0,34887.0,11.32,Filling,True
60.0,35067.0,11.9,Packaging,False
65.0,35067.0,11.9,Packaging,False
70.0,35067.0,11.9,Packaging,False
75.0,35067.0,11.9,Packaging,False
80.0,35067.0,11.9,Packaging,False
